Month,Car Class,MDBF,12-Month Average MDBF,Total Miles,Number of Failures,Number of Cars
2016-11,R62,"339,701",189436,1358803,4,315
2016-11,R62A,"97,080",82530,3397783,35,824
2016-11,R68,"208,188",117673,2081883,10,425
2016-11,R42,"69,105",36294,138210,2,50
2016-10,R188-NEW,"447,500",520801,447500,1,126
2016-10,ADIVISION,"110,553",110126,12160824,110,2895
2016-10,BDIVISION,"119,542",115889,16735904,140,3523
2016-10,FLEET,"115,587",113363,28896728,250,6418
2016-10,R142,"174,574",141529,4888072,28,1030
2016-10,R142A,"44,616",49762,936934,21,220
2016-10,R143,"75,664",57902,1059289,14,212
2016-10,R160,"216,987",277667,8896461,41,1662
2016-10,R188-CONVERSION,"159,928",170908,1279426,8,380
2016-10,R32,"27,303",31843,737173,27,222
2016-10,R46,"102,433",76836,3277869,32,752
2016-10,R62,"233,274",181061,1166368,5,315
2016-10,R62A,"73,245",82900,3442514,47,824
2016-10,R68,"116,820",116334,1985942,17,425
2016-10,R68A,"105,871",95093,635226,6,200
2016-10,R42,"47,981",33562,143944,3,50
2016-09,R188-NEW,N/A,581452,458588,0,126
2016-09,ADIVISION,"105,899",109708,12072440,114,2895
2016-09,BDIVISION,"110,017",117343,16392538,149,3523
2016-09,FLEET,"108,232",113961,28464978,263,6418
2016-09,R142,"142,277",139584,4837424,34,1030
2016-09,R142A,"46,880",51275,937605,20,220
2016-09,R143,"31,024",56423,992770,32,212
2016-09,R160,"321,509",286655,8680738,27,1662
2016-09,R188-CONVERSION,"165,271",163346,1322169,8,380
2016-09,R32,"41,366",32377,744593,18,222
2016-09,R46,"78,795",78057,3230585,41,752
2016-09,R62,"237,086",176174,1185429,5,315
2016-09,R62A,"70,878",83438,3331251,47,824
2016-09,R68,"117,936",114670,2004914,17,425
2016-09,R68A,"47,052",101595,611678,13,200
2016-09,R42,"127,260",32788,127260,1,50
2016-08,R188-NEW,"471,319",577083,471319,1,126
2016-08,ADIVISION,"75,644",110236,13010683,172,2895
2016-08,BDIVISION,"100,985",118332,17268395,171,3523
2016-08,FLEET,"88,277",114739,30279078,343,6418
2016-08,R142,"96,299",140112,5200148,54,1030
2016-08,R142A,"40,841",52689,1102720,27,220
2016-08,R143,"37,634",60738,1016109,27,212
2016-08,R160,"178,750",281764,9294997,52,1662
2016-08,R188-CONVERSION,"124,396",161483,1368356,11,380
2016-08,R32,"31,066",31369,714514,23,222
2016-08,R46,"69,184",78707,3390010,49,752
2016-08,R62,"124,967",174723,1374639,11,315
2016-08,R62A,"51,375",84451,3493470,68,824
2016-08,R68,"152,046",116366,2128649,14,425
2016-08,R68A,"99,610",114036,597659,6,200
2016-08,R42,0,31792,126457,0,50
2016-07,R188-NEW,N/A,573821,463170,0,126
2016-07,ADIVISION,"112,980",115675,12201891,108,2895
2016-07,BDIVISION,"101,795",122514,16592633,163,3523
2016-07,FLEET,"106,253",119505,28794524,271,6418
2016-07,R142,"122,445",149963,4775353,39,1030
2016-07,R142A,"64,635",54139,1034160,16,220
2016-07,R143,"64,804",64107,1036860,16,212
2016-07,R160,"238,718",306076,8832574,37,1662
2016-07,R188-CONVERSION,"213,926",170859,1283553,6,380
2016-07,R32,"22,465",31889,673959,30,222
2016-07,R46,"66,431",80611,3321526,50,752
2016-07,R62,"198,076",181356,1386529,7,315
2016-07,R62A,"81,479",89411,3259161,40,824
2016-07,R68,"106,583",115424,2025069,19,425
2016-07,R68A,"112,846",121840,564230,5,200
2016-07,R42,"23,069",32007,138415,6,50
2016-06,R188-NEW,N/A,472024,459144,0,124
2016-06,ADIVISION,"115,944",114270,12406055,107,2895
2016-06,BDIVISION,"114,281",125224,16570719,145,3523
2016-06,FLEET,"114,987",120313,28976774,252,6418
2016-06,R142,"151,208",154127,4838655,32,1030
2016-06,R142A,"48,506",52171,1018635,21,220
2016-06,R143,"58,766",61702,940256,16,212
2016-06,R160,"337,981",317875,8787503,26,1662
2016-06,R188-CONVERSION,"141,826",155578,1276432,9,360
2016-06,R32,"29,234",33028,789319,27,222
2016-06,R46,"64,526",82666,3290811,51,752
2016-06,R62,"201,559",187661,1410915,7,315
2016-06,R62A,"87,391",88834,3320843,38,824
2016-06,R68,"125,104",117467,2001667,16,425
2016-06,R68A,"125,739",119045,628693,5,200
2016-06,R42,"33,118",34399,132470,4,50
2016-05,R188-NEW,"419,760",436023,419760,1,123
2016-05,ADIVISION,"166,432",115734,12315935,74,2873
2016-05,BDIVISION,"125,483",127627,16563807,132,3523
2016-05,FLEET,"140,193",122280,28879742,206,6396
2016-05,R142,"164,409",154637,4767859,29,1030
2016-05,R142A,"85,801",54081,1029615,12,220
2016-05,R143,"53,295",61346,959307,18,212
2016-05,R160,"291,080",315794,8732409,30,1662
2016-05,R188-CONVERSION,"437,454",142293,1312363,3,350
2016-05,R32,"34,045",33996,783024,23,222
2016-05,R46,"107,292",86062,3326053,31,752
2016-05,R62,"371,098",195744,1484391,4,315
2016-05,R62A,"132,078",92333,3301945,25,824
2016-05,R68,"110,843",118007,1995175,18,425
2016-05,R68A,"103,361",123228,620164,6,200
2016-05,R42,"24,613",37603,147675,6,50
2016-04,R188-NEW,N/A,352571,382342,0,122
2016-04,ADIVISION,"134,481",113131,11699863,87,2862
2016-04,BDIVISION,"118,675",132408,16377189,138,3523
2016-04,FLEET,"124,787",123454,28077052,225,6385
2016-04,R142,"264,504",153221,4496564,17,1030
2016-04,R142A,"36,009",54135,972256,27,220
2016-04,R143,"97,147",63288,874320,9,212
2016-04,R160,"220,764",327425,8830579,40,1662
2016-04,R188-CONVERSION,"379,285",126637,1137856,3,340
2016-04,R32,"39,946",35666,758982,19,222
2016-04,R46,"65,712",89305,3219906,49,752
2016-04,R62,"172,414",190675,1379315,8,315
2016-04,R62A,"104,110",91604,3331531,32,824
2016-04,R68,"129,222",119902,1938328,15,425
2016-04,R68A,"150,969",128828,603875,4,200
2016-04,R42,"75,600",40140,151199,2,50
2016-03,R188-NEW,"207,966",315015,415931,2,120
2016-03,ADIVISION,"119,731",113001,12811223,107,2871
2016-03,BDIVISION,"111,160",136992,17340904,156,3523
2016-03,FLEET,"114,647",125613,30152127,263,6394
2016-03,R142,"188,507",148053,5089688,27,1030
2016-03,R142A,"62,512",57545,1062700,17,240
2016-03,R143,"49,211",62398,984212,20,212
2016-03,R160,"400,551",342377,9212662,23,1662
2016-03,R188-CONVERSION,"241,944",120191,1209720,5,320
2016-03,R32,"33,141",37761,861671,26,222
2016-03,R46,"61,603",94882,3388143,55,752
2016-03,R62,"107,782",182864,1508954,14,315
2016-03,R62A,"83,911",93882,3524241,42,824
2016-03,R68,"105,102",119846,2102048,20,425
2016-03,R68A,"91,162",126551,638134,7,200
2016-03,R42,"30,807",39309,154034,5,50
2016-02,ADIVISION,"109,629",113217,11730255,107,2870
2016-02,BDIVISION,"107,771",141763,15626764,145,3523
2016-02,FLEET,"108,560",128007,27357019,252,6393
2016-02,R142,"135,937",148354,4757790,35,1030
2016-02,R142A,"60,111",59156,1021894,17,250
2016-02,R143,"60,033",65164,900501,15,212
2016-02,R160,"228,469",345586,8224868,36,1662
2016-02,R188-CONVERSION,"122,986",110524,1106877,9,300
2016-02,R188-NEW,"118,208",335141,354624,3,118
2016-02,R32,"44,151",38362,750572,17,222
2016-02,R46,"78,770",101630,3150819,40,752
2016-02,R62,"167,022",190050,1336175,8,315
2016-02,R62A,"90,083",94755,3152890,35,824
2016-02,R68,"60,813",122788,1885200,31,425
2016-02,R68A,"100,046",123449,600274,6,200
2016-02,R42,0,41027,114530,0,50
2016-01,R188-NEW,"423,948",316687,423948,1,118
2016-01,ADIVISION,"104,209",112469,12192435,117,2852
2016-01,BDIVISION,"125,974",144892,16124633,128,3523
2016-01,FLEET,"115,580",129056,28317068,245,6375
2016-01,R142,"130,663",150637,4834537,37,1030
2016-01,R142A,"53,238",59739,1118001,21,265
2016-01,R143,"67,385",67420,1010772,15,212
2016-01,R160,"382,226",360118,8408961,22,1662
2016-01,R188-CONVERSION,"117,161",103191,1054446,9,300
2016-01,R32,"33,390",39134,734589,22,222
2016-01,R46,"80,839",101040,3314399,41,752
2016-01,R62,"179,299",184641,1434392,8,315
2016-01,R62A,"81,150",94337,3327143,41,824
2016-01,R68,"201,618",133897,2016183,10,425
2016-01,R68A,"87,161",121808,522964,6,200
2016-01,R42,"9,730",34880,116765,12,50
2015-12,R188-NEW,N/A,316396,477935,0,116
2015-12,ADIVISION,"116,411",114718,13038036,112,2862
2015-12,BDIVISION,"115,927",147047,17157164,148,3523
2015-12,FLEET,"116,135",131325,30195200,260,6385
2015-12,R142,"153,432",155577,5216672,34,1030
2015-12,R142A,"44,510",60216,1290779,29,275
2015-12,R143,"73,728",66835,958460,13,212
2015-12,R160,"376,192",365267,9028610,24,1662
2015-12,R188-CONVERSION,"280,793",102329,1123173,4,280
2015-12,R32,"20,607",40704,803681,39,222
2015-12,R46,"83,920",102701,3524646,42,752
2015-12,R62,"242,501",189960,1455004,6,315
2015-12,R62A,"89,089",97719,3474481,39,824
2015-12,R68,"109,243",129498,2075614,19,425
2015-12,R68A,"89,126",124358,623880,7,200
2015-12,R42,"35,568",39934,142273,4,50
2015-11,R188-NEW,"433,751",296913,433751,1,115
2015-11,ADIVISION,"95,433",115298,11929074,125,2850
2015-11,BDIVISION,"159,122",154230,16230449,102,3523
2015-11,FLEET,"124,051",134916,28159523,227,6373
2015-11,R142,"101,034",154683,4748596,47,1030
2015-11,R142A,"43,572",64162,1263575,29,285
2015-11,R143,"169,521",67467,847604,5,212
2015-11,R160,"390,144",373652,8583161,22,1662
2015-11,R188-CONVERSION,"97,986",91508,881877,9,270
2015-11,R32,"48,160",47382,818721,17,222
2015-11,R46,"91,788",106747,3212594,35,752
2015-11,R62,"169,301",199255,1354410,8,315
2015-11,R62A,"104,738",97622,3246882,31,824
2015-11,R68,"169,882",129936,2038581,12,425
2015-11,R68A,"116,056",131382,580279,5,200
2015-11,R42,"24,918",43297,149509,6,50
2015-10,R68A,"621,447",118127,621447,1,200
2015-10,R188-NEW,N/A,291646,472555,0,114
2015-10,ADIVISION,"105,813",116470,12697530,120,2848
2015-10,BDIVISION,"140,526",154916,17003647,121,3523
2015-10,FLEET,"123,241",135912,29701177,241,6371
2015-10,R142,"144,625",159664,5061884,35,1030
2015-10,R142A,"61,644",66142,1479446,24,305
2015-10,R143,"54,766",66012,876252,16,212
2015-10,R160,"305,285",370543,9158535,30,1662
2015-10,R188-CONVERSION,"97,091",89053,970912,10,260
2015-10,R32,"33,077",48392,793854,24,222
2015-10,R46,"136,808",109185,3283391,24,752
2015-10,R62,"158,484",196021,1426352,9,315
2015-10,R62A,"78,247",97423,3286389,42,824
2015-10,R68,"99,932",130648,2098572,21,425
2015-10,R42,"34,319",48774,171596,5,50
2015-09,R188-NEW,N/A,287308,419268,0,111
2015-09,ADIVISION,"112,260",119173,12124119,108,2847
2015-09,BDIVISION,"121,593",157190,16414995,135,3523
2015-09,FLEET,"117,445",138495,28539114,243,6370
2015-09,R142,"149,352",161375,4779260,32,1030
2015-09,R142A,"63,622",68424,1463316,23,315
2015-09,R143,"56,077",69332,953308,17,212
2015-09,R160,"260,245",378663,8848344,34,1662
2015-09,R188-CONVERSION,"139,832",88685,838989,6,230
2015-09,R32,"27,392",52418,739592,27,222
2015-09,R46,"87,984",106217,3167412,36,752
2015-09,R62,"199,581",191901,1397067,7,315
2015-09,R62A,"80,655",102412,3226197,40,824
2015-09,R68,"143,961",135299,2015459,14,425
2015-09,R68A,"116,529",101104,582644,5,200
2015-09,R42,"54,118",55975,108236,2,50
2015-08,R68A,"300,994",101101,601987,2,200
2015-08,R188-NEW,"441,962",271515,441962,1,110
2015-08,ADIVISION,"119,835",121766,12223160,102,2856
2015-08,BDIVISION,"153,352",159851,16715321,109,3523
2015-08,FLEET,"137,149",141167,28938481,211,6379
2015-08,R142,"198,750",159357,4968755,25,1030
2015-08,R142A,"54,972",71525,1484255,27,335
2015-08,R143,"58,811",72972,940979,16,212
2015-08,R160,"426,096",386678,8948012,21,1662
2015-08,R188-CONVERSION,"263,017",85059,789052,3,220
2015-08,R32,"38,934",54072,739739,19,222
2015-08,R42,0,58420,137656,0,50
2015-08,R46,"91,664",106149,3299887,36,752
2015-08,R62,"184,660",196480,1292618,7,315
2015-08,R62A,"83,246",108329,3246576,39,824
2015-08,R68,"136,471",136795,2047061,15,425
2015-07,R188-NEW,"245,520",264778,491040,2,108
2015-07,ADIVISION,"98,966",124287,12469713,126,2849
2015-07,BDIVISION,"129,620",157974,16980270,131,3523
2015-07,FLEET,"114,591",141719,29449983,257,6372
2015-07,R142,"167,375",157685,4853887,29,1030
2015-07,R142A,"43,568",76481,1612019,37,350
2015-07,R143,"44,720",76204,983836,22,212
2015-07,R160,"363,545",381838,9088619,25,1662
2015-07,R188-CONVERSION,"74,456",77140,744562,10,200
2015-07,R42,"62,610",54684,125220,2,50
2015-07,R32,"33,666",55402,706988,21,222
2015-07,R46,"87,798",101263,3336335,38,752
2015-07,R62,"352,466",202707,1409864,4,315
2015-07,R62A,"76,325",112581,3358308,44,824
2015-07,R68,"131,368",143243,2101881,16,425
2015-07,R68A,"91,056",87259,637391,7,200
2015-06,R188-NEW,"499,157",271262,499157,1,107
2015-06,ADIVISION,"137,238",126573,12214173,89,2821
2015-06,BDIVISION,"144,019",160160,16562201,115,3523
2015-06,FLEET,"141,061",143983,28776374,204,6344
2015-06,R142,"157,332",152238,4877290,31,1030
2015-06,R142A,"73,417",80985,1615166,22,355
2015-06,R143,"54,715",83242,875440,16,212
2015-06,R160,"311,652",389131,8726248,28,1662
2015-06,R188-CONVERSION,"53,373",79279,640470,12,190
2015-06,R42,"173,440",55699,173440,1,50
2015-06,R32,"41,559",55540,789620,19,222
2015-06,R46,"101,962",100724,3364741,33,752
2015-06,R62,"451,820",200700,1355461,3,315
2015-06,R62A,"161,333",118541,3226667,20,824
2015-06,R68,"133,021",145981,1995311,15,425
2015-06,R68A,"212,467",85470,637401,3,200
2015-05,ADIVISION,"119,228",126472,12280494,103,2841
2015-05,BDIVISION,"220,863",161157,16343886,74,3523
2015-05,FLEET,"161,720",144395,28624380,177,6364
2015-05,R142,"146,831",154485,4845439,33,1030
2015-05,R142A,"69,343",82715,1802914,26,375
2015-05,R143,"80,639",89140,806388,10,212
2015-05,R160,"483,308",397362,8699544,18,1662
2015-05,R188-CONVERSION,"80,761",88003,646089,8,170
2015-05,R188-NEW,"119,015",277870,476059,4,105
2015-05,R32,"70,546",58101,846546,12,222
2015-05,R42,"50,649",53973,101297,2,50
2015-05,R46,"235,718",96435,3300057,14,752
2015-05,R62,"238,293",184716,1429760,6,315
2015-05,R62A,"118,470",115029,3080216,26,824
2015-05,R68,"135,062",150795,2025937,15,425
2015-05,R68A,"188,039",80590,564117,3,200
2015-04,R188-NEW,"224,514",338493,449028,2,104
2015-04,ADIVISION,"130,885",126982,12434092,95,2834
2015-04,BDIVISION,"185,949",157132,16549453,89,3523
2015-04,FLEET,"157,519",142799,28983545,184,6357
2015-04,R142,"148,220",154921,4891272,33,1030
2015-04,R142A,"75,799",83409,1819180,24,390
2015-04,R143,"78,195",91540,781952,10,212
2015-04,R160,"341,032",377858,8866841,26,1662
2015-04,R188-CONVERSION,"190,208",89890,570625,3,160
2015-04,R42,"77,790",55119,77790,1,50
2015-04,R32,"122,100",59547,854700,7,222
2015-04,R46,"138,269",91119,3318460,24,752
2015-04,R62,"118,623",180525,1423476,12,315
2015-04,R62A,"156,216",115613,3280541,21,824
2015-04,R68,"127,925",151111,2046799,16,425
2015-04,R68A,"120,582",78648,602911,5,200
2015-03,R188-NEW,"422,922",369787,422922,1,102
2015-03,R42,"49,844",52852,99688,2,50
2015-03,ADIVISION,"123,016",127705,12301560,100,2838
2015-03,BDIVISION,"162,318",155031,17043393,105,3523
2015-03,FLEET,"143,146",142179,29344953,205,6361
2015-03,R142,"196,508",159082,4912696,25,1030
2015-03,R142A,"81,402",81411,1953651,24,405
2015-03,R143,"80,160",91156,881764,11,212
2015-03,R160,"458,386",373402,9167716,20,1662
2015-03,R188-CONVERSION,"78,264",79858,469584,6,150
2015-03,R32,"39,016",58739,858341,22,222
2015-03,R46,"124,549",88347,3362831,27,752
2015-03,R62,"140,981",201851,1409805,10,315
2015-03,R62A,"92,144",115312,3132890,34,824
2015-03,R68,"139,220",152140,2088305,15,425
2015-03,R68A,"73,094",81170,584748,8,200
2015-02,ADIVISION,"100,730",125624,10979521,109,2842
2015-02,BDIVISION,"135,914",157861,15086464,111,3523
2015-02,FLEET,"118,482",142422,26065985,220,6365
2015-02,R142,"165,625",151905,4306242,26,1030
2015-02,R142A,"66,775",79373,1736140,26,420
2015-02,R143,"105,094",93211,735660,7,212
2015-02,R160,"347,396",375314,7990115,23,1662
2015-02,R188-CONVERSION,"43,884",80256,351068,8,130
2015-02,R188-NEW,"94,014",372521,376056,4,101
2015-02,R32,"60,308",62541,784003,13,222
2015-02,R42,"16,058",50228,96349,6,50
2015-02,R46,"73,703",88877,3021838,41,752
2015-02,R62,"122,947",207454,1229474,10,315
2015-02,R62A,"85,160",117791,2980587,35,824
2015-02,R68,"130,226",155771,1953385,15,425
2015-02,R68A,"84,186",85175,505114,6,200
2015-01,R188-NEW,"418,994",560628,418994,1,100
2015-01,ADIVISION,"133,694",126912,12032417,90,2835
2015-01,BDIVISION,"149,309",157943,16573276,111,3523
2015-01,FLEET,"142,317",143150,28605693,201,6358
2015-01,R142,"195,171",146801,4879280,25,1030
2015-01,R142A,"60,297",81594,1869210,31,435
2015-01,R143,"61,220",87881,918303,15,212
2015-01,R160,"464,302",375347,8821731,19,1662
2015-01,R188-CONVERSION,"121,531",98442,364593,3,120
2015-01,R32,"55,303",60354,829552,15,222
2015-01,R42,"15,752",54105,94509,6,50
2015-01,R46,"95,443",90950,3245046,34,752
2015-01,R62,"268,652",215548,1343259,5,315
2015-01,R62A,"126,282",121234,3157061,25,824
2015-01,R68,"124,569",156180,2117669,17,425
2015-01,R68A,"109,293",86097,546466,5,200
